model_name,split,MAE,RMSE,R2
baseline,test,0.020002754405140877,0.025210602043049056,0.38771647214889526
causal_input,test,0.01827804557979107,0.02385211205271087,0.45192521810531616
dml_residual_soft_sensor,test,0.019918943201782172,0.02560468442517349,0.3684248368087968
