group,gate,mean_branch_output,mean_abs_contribution
feed,0.5002196431159973,0.40110158920288086,0.20063889026641846
reagent,0.5304834246635437,0.35982584953308105,0.28188011050224304
state,0.504714846611023,0.2567877471446991,0.19016721844673157
